scheme_code,scheme_name,category,status
119104,Tata Corporate Bond Fund- Direct Plan-Growth,Corporate Bond,ok
119106,DSP Savings Fund - Direct Plan - Growth,Other,ok
119110,HDFC Overnight Fund - Growth Option - Direct Plan,Liquid Fund,ok
119112,HDFC Floating Rate Income Fund Long -Direct Plan - Growth Option,Other,ok
119114,HDFC Gilt Fund Short Term Plan -Direct Plan - Growth Option,Short Duration,ok
119116,HDFC Gilt Fund - Growth Option - Direct Plan,Long Duration,ok
119118,HDFC Hybrid Debt Fund - Growth Option - Direct Plan,Other,ok
119121,HDFC MF MIP STP -Direct Plan - Growth Option,Other,ok
119125,DSP Liquidity Fund - Direct Plan - Growth,Other,ok
119127,Tata Medium Term Fund- Direct Plan- Growth Option,Medium Duration,ok
119128,HDFC Equity Savings Fund - Growth Option - Direct Plan,Equity Savings,ok
119131,HDFC Multi-Asset Fund - Growth Option - Direct Plan,Other,ok
119132,HDFC Gold ETF Fund of Fund - Direct Plan,ETF - Equity,ok
119133,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option,Large Cap,ok
119134,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),Large Cap,ok
119135,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,Liquid Fund,ok
119136,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),Liquid Fund,ok
119138,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),Liquid Fund,ok
119140,Morgan Stanley Growth Fund - Direct Growth Plan,Other,ok
119141,Morgan Stanley Growth Fund -  Direct Dividend Plan,Other,ok
119143,Indiabulls Ultra Short Term Fund - Direct Plan - Growth Option,Short Duration,ok
119148,Navi Large Cap Equity Fund-Direct Plan-Growth Option,Large Cap,ok
119150,Morgan Stanley A.C.E. Fund-Direct Growth Plan,Other,ok
119151,ESSEL FLEXIBLE INCOME FUND-DIRECT PLAN-GROWTH OPTION,Other,ok
119156,Navi Conservative Hybrid Fund-Direct Plan-Growth Option,Hybrid - Debt Oriented,ok
119160,Tata Large Cap Fund -Direct Plan Growth Option,Large Cap,ok
119164,Navi Liquid Fund-Direct Plan-Growth Option,Liquid Fund,ok
119165,Morgan Stanley Active Bond Fund - Direct Growth Plan,Other,ok
119168,Essel Short Term Fund-Direct Plan-Growth Option,Short Duration,ok
119172,Tata Ethical Fund -Direct Plan- Growth Option,Other,ok
119173,Morgan Stanley Liquid Fund - Direct Growth Plan,Liquid Fund,ok
119176,Navi 3 in 1 Fund-Direct Plan-Growth Option,Other,ok
119178,Tata Mid Cap Fund - Direct Plan- Growth Option,Mid Cap,ok
119181,Daiwa Liquid Fund - Direct - Growth,Liquid Fund,ok
119182,Tata Mid Cap Growth Fund - Direct Plan Bonus(Growth),Mid Cap,ok
119184,Daiwa Treasury Advantage Fund - Direct - Growth,Other,skip
119186,Navi Ultra Short Term Fund - Direct Plan-Growth Option,Short Duration,ok
119189,Tata Equity Management Fund - Direct Plan Growth,Other,skip
119194,Daiwa Industry Leaders Fund - Direct - Growth,Other,skip
