scheme_code,scheme_name,category,status
107891,HSBC Fixed Term Series 44 - Regular - Growth,Other,ok
107892,Templeton Fixed Horizon Fund - Series VII - Plan C - Institutional Plan - Growth,Other,skip
107897,SBI DEBT FUND SERIES-13M-7 (18/03/08) RETAIL GROWTH,Other,skip
107898,SBI DEBT FUND SERIES-13M-7 (18/03/08) INSTITUTIONAL GROWTH,Other,skip
107901,Reliance Equity Linked Saving Fund - Series I - Growth Plan,Other,ok
107903,Reliance Fixed Horizon Fund - VII - Series 4-Retail Plan-Growth Option,Other,skip
107905,Reliance Fixed Horizon Fund - VII - Series 4-Institutional Plan-Growth Option,Other,skip
107906,ABN AMRO FIXED TERM PLAN - SERIES 10 -  PLAN F - Regular Plan - Growth Option,Other,skip
107912,ABN AMRO FIXED TERM PLAN - SERIES 10 -  PLAN F - Instl Plan - Growth Option,Other,skip
107919,UTI Fixed Maturity Plan -Quarterly Mar 2008 Sr.1 - Growth Option,Other,skip
107921,UTI Fixed Maturity Plan -Quarterly Mar 2008 Sr.1 - Instn. Growth Option,Other,skip
107922,ING Long Term FMP - I - Retail Plan- Growth Option,Other,skip
107924,ING Long Term FMP - I - Institutional Plan- Growth Option,Other,skip
107928,ICICI Prudential FMP series 43 - 13 Mths Plan A - Retail Growth Option,Other,skip
107931,ICICI Prudential FMP series 43 - 13 Mths Plan A - Institutional Growth Option,Other,skip
107932,Reliance Fixed Horizon Fund - VII - Series 5-Retail Plan-Growth Option,Other,ok
107935,Reliance Fixed Horizon Fund - VII - Series 5-Institutional Plan-Growth Option,Other,ok
107936,Reliance Fixed Horizon Fund - IX - Series 1 - Retail Plan-Growth Option,Other,ok
107938,Reliance Fixed Horizon Fund - IX - Series 1 - Institutional Plan-Growth Option,Other,ok
107940,Reliance Fixed Horizon Fund - IX - Series 5 - Retail Plan-Growth Option,Other,ok
107943,Reliance Fixed Horizon Fund - IX - Series 5 - Institutional Plan-Growth Option,Other,ok
107944,Reliance Fixed Horizon Fund - IX - Series 9 - Retail Plan-Growth Option,Other,ok
107946,Reliance Fixed Horizon Fund - IX - Series 9 - Institutional Plan-Growth Option,Other,ok
107956,DWS FIXED TERM FUND SERIES 46 - INSTITUTIONAL PLAN- GROWTH OPTION,Other,skip
107957,DWS FIXED TERM FUND SERIES 46 - REGULAR PLAN- GROWTH OPTION,Other,skip
107959,DWS FIXED TERM FUND SERIES 43- REGULAR PLAN GROWTH OPTION,Other,skip
107960,DWS FIXED TERM FUND SERIES 43- INSTITUTIONAL PLAN GROWTH OPTION,Other,skip
107962,ICICI Prudential FMP series 42 - 3 Mths Plan B - Retail Growth Option,Other,skip
107964,ICICI Prudential FMP series 43 - 13 Mths Plan B - Institutional Growth Option,Other,skip
107967,ICICI Prudential FMP series 43 - 13 Mths Plan B - Retail Growth Option,Other,skip
107969,ICICI Prudential FMP series 43 - 13 Mths Plan C - Institutional Growth Option,Other,skip
107971,ICICI Prudential FMP series 43 - 13 Mths Plan C - Retail Growth Option,Other,skip
107972,Religare FMP-375 days-Sr-VIII - Institutional Growth,Other,skip
107974,Religare FMP-375 days-Sr-VIII - Retail Growth,Other,skip
107976,ABN AMRO FIXED TERM PLAN - SERIES 11 -  PLAN A - Regular Plan - Growth Option,Other,skip
107981,ABN AMRO FIXED TERM PLAN - SERIES 11 -  PLAN A - Instl Plan - Growth Option,Other,skip
107988,HSBC Global Emerging Markets Fund - Growth,International FOF,ok
107991,UTI Fixed Maturity Plan - Half Yearly March 08- Instn. Growth Option,Other,skip
107993,UTI Fixed Maturity Plan - Half Yearly March 08- Growth Option,Other,skip
107994,Reliance Fixed Horizon Fund - VI - Series 3 - Retail Plan-Growth Option,Other,skip
107997,Reliance Fixed Horizon Fund - VI - Series 3 - Institutional Plan-Growth Option,Other,skip
107999,ING Global Real Estate Fund - Institutional Plan Growth Option,International FOF,ok
108001,Templeton Fixed Horizon Fund - Series VII - Plan D - Institutional Plan - Growth,Other,skip
108003,Templeton Fixed Horizon Fund - Series VII - Plan D - Retail Plan - Growth,Other,skip
108005,HDFC FMP 370D MARCH 2008 (2) RETAIL PLAN - GROWTH OPTION,Other,skip
108010,HDFC FMP 370D MARCH 2008 (2) WHOLESALE PLAN - GROWTH OPTION,Other,skip
108012,HDFC FMP 370D MARCH 2008 (1) WHOLESALE PLAN - GROWTH OPTION,Other,skip
108017,HDFC FMP 370D MARCH 2008 (1) RETAIL PLAN - GROWTH OPTION,Other,skip
108018,Kotak FMP 3M Series 27 - Growth,Other,skip
108021,Kotak FMP 3M Series 28 - Growth,Other,skip
108023,Kotak FMP 14M Series 4 - Institutional - Growth,Other,ok
108025,Kotak FMP 14M Series 4 - Retail - Growth,Other,ok
108026,JM Fixed Maturity Fund - Series XI - 13 Months plan 1 (JM FMF - XI - 13M1) - Regular plan - Growth option,Other,skip
108028,JM Fixed Maturity Fund - Series XI - 13 Months plan 1 (JM FMF - XI - 13M1) - Institutional plan - Growth option,Other,skip
108031,HSBC Interval Fund - Plan III Inst. - Growth,Other,skip
108033,HSBC Interval Fund - Plan III - Regular - Growth,Other,skip
108034,ICICI Prudential FMP series 43 - 3 Mths Plus Plan - Retail Growth Option,Other,skip
108037,ICICI Prudential FMP series 42 - 3 Mths Plan C - Retail Growth Option,Other,skip
108038,Religare FMP-1M-Sr-VIII-Growth,Other,skip
108041,Reliance Fixed Horizon Fund - VII - Series 6 - Retail Plan-Growth Option,Other,skip
108043,Reliance Fixed Horizon Fund - VII - Series 6 - Institutional Plan-Growth Option,Other,skip
108044,HDFC FMP 90D MARCH 2008 (3) - RETAIL PLAN GROWTH OPTION,Other,skip
108046,HDFC FMP 90D MARCH 2008 (3) - WHOLESALE PLAN GROWTH OPTION,Other,skip
108049,Birla Sun Life Fixed Term Plan - Series AP RETAIL GROWTH,Other,ok
108051,Birla Sun Life Fixed Term Plan - Series AP INSTITUTIONAL GROWTH,Other,ok
108052,Birla Sun Life Fixed Term Plan - Series AO RETAIL GROWTH,Other,skip
108055,Birla Sun Life Fixed Term Plan - Series AO INSTITUTIONAL GROWTH,Other,skip
108057,Birla Sun Life Fixed Term Plan - Series AQ RETAIL GROWTH,Other,ok
108059,Birla Sun Life Fixed Term Plan - Series AQ INSTITUTIONAL GROWTH,Other,ok
108060,HSBC Fixed Term Series 47 - Inst. - Growth,Other,skip
108063,HSBC Fixed Term Series 47 - Regular - Growth,Other,skip
108066,HSBC Fixed Term Series 45 - Inst. - Growth,Other,skip
108067,HSBC Fixed Term Series 45 - Regular - Growth,Other,skip
108068,HSBC Fixed Term Series 46 - Inst. - Growth,Other,skip
108070,HSBC Fixed Term Series 46 - Regular - Growth,Other,skip
108073,Standard Chartered FMP - QS28 Plan-A-Growth,Other,skip
108074,DSP BlackRock FMP - 3M - Series 6 - Regular Plan - Growth,Other,skip
108076,DSP BlackRock FMP - 3M - Series 6 - Institutional Plan - Growth,Other,skip
108079,Standard Chartered Fixed Maturity Plan - YS20-Plan B - Growth,Other,skip
108080,Standard Chartered Fixed Maturity Plan - YS20-Plan A - Growth,Other,skip
108083,DSP BlackRock FMP - 13M - Series 1 - Regular Plan - Growth,Other,skip
108085,DSP BlackRock FMP - 13M - Series 1 - Institutional Plan - Growth,Other,skip
108087,Principal Pnb Fixed Maturity Plan - 540 Days - Series II - Regular Plan - Growth Option,Other,ok
108089,Principal Pnb Fixed Maturity Plan - 540 Days - Series II - Institutional Plan - Growth Option,Other,ok
108090,Birla Sun Life Fixed Term Plan - Series AR RETAIL GROWTH,Other,skip
108092,Birla Sun Life Fixed Term Plan - Series AR INSTITUTIONAL GROWTH,Other,skip
108095,UTI FTIF Series-IV Mar08-13 months - Growth Option,Other,skip
108097,HSBC Small Cap Fund - Growth,Small Cap,ok
108100,HSBC Fixed Term Series 48 - Inst. - Growth,Other,skip
108101,HSBC Fixed Term Series 48 - Regular - Growth,Other,skip
108103,HSBC Fixed Term Series 49 - Inst. - Growth,Other,skip
108105,HSBC Fixed Term Series 49 - Regular - Growth,Other,skip
108106,ING Gilt Fund Provident Fund - Dynamic Plan-Cyclical Series Option 2008,Long Duration,skip
108108,ING Fixed Maturity Fund - Series 43 - Institutional Plan - Growth Option,Other,skip
108110,ING Fixed Maturity Fund - Series 43 - Retail Plan - Growth Option,Other,skip
108113,CANARA ROBECO FIXED MATURITY PLAN-2(13 Months Series)-Institutional Growth,Other,ok
108116,CANARA ROBECO FIXED MATURITY PLAN-2(13 Months Series)-Retail Growth,Other,ok
108117,Reliance Fixed Horizon Fund - VIII - Series 1 - Retail Plan-Growth Option,Other,skip
108119,Reliance Fixed Horizon Fund - VIII - Series 1 - Institutional Plan-Growth Option,Other,skip
108122,ICICI Prudential FMP series 43 - 13 Mths Plan D - Retail Growth Option,Other,skip
108124,UTI FTIF Series-IV Plan-V (13 months) - Growth Option,Other,ok
108126,UTI FTIF Series-IV Plan-V (13 months) - Instn. Growth  Option,Other,ok
108127,Kotak FMP 13M Series 3 Retail Plan - Growth,Other,skip
108130,Kotak FMP 13M Series 3 Institutional Plan - Growth,Other,skip
108131,ING Fixed Maturity Fund - Series 44 - Retail Plan - Growth Option,Other,skip
108133,ING Fixed Maturity Fund - Series 44 - Institutional Plan - Growth Option,Other,skip
108136,ING Long Term FMP - II - Institutional Plan- Growth Option,Other,skip
108137,ING Long Term FMP - II - Retail Plan- Growth Option,Other,skip
108140,Z-REDEEMED-SBI DEBT FUND SERIES - 30 DAYS-2 (27/03/08)-GROWTH,Other,skip
108142,SBI DEBT FUND SERIES - 90 DAYS - 22 (26/03/08)-GROWTH,Other,skip
108145,SBI TAX ADVANTAGE FUND - SERIES I - GROWTH,Other,skip
108148,DWS FIXED TERM FUND SERIES 47- REGULAR PLAN- GROWTH OPTION-,Other,skip
108149,DWS FIXED TERM FUND SERIES 47- INSTITUTIONAL PLAN - GROWTH OPTION,Other,skip
108151,DSP BlackRock FMP - 12 1/2 M - Series 1 - Regular Plan - Growth,Other,skip
108152,DSP BlackRock FMP - 12 1/2 M - Series 1 - Institutional Plan - Growth,Other,skip
108155,LICMF FIXED MATURITY PLAN SERIES 37 (GROWTH OPTION),Other,skip
108156,LICMF FIXED MATURITY PLAN SERIES 39 (GROWTH OPTION),Other,skip
108158,UTI FMP Yearly March 2008 - Growth Option,Other,ok
108162,UTI-FTIF Series IV Plan VI (15 Months) - Growth Option,Other,ok
108164,UTI-FTIF Series IV Plan VI (15 Months) - Instn. Growth Option,Other,ok
108167,Aditya Birla Sun Life Value Fund - Growth Option,Other,ok
108169,PineBridge World Gold Fund - Standard Plan - Growth Option,Gold Fund,ok
108172,ICICI Prudential FMP series 43 - 14 Mths Plan A - Retail Growth Option,Other,skip
108173,ICICI Prudential FMP series 43 - 14 Mths Plan A - Institutional Growth Option,Other,skip
108188,Kotak FMP 13M Series 4 - Institutional Growth,Other,skip
108189,Kotak FMP 13M Series 4 Retail Growth,Other,skip
108192,Kotak FMP 15M Series 4 Retail - Growth,Other,ok
108193,Kotak FMP 15M Series 4 Institutional - Growth,Other,ok
108195,DWS CASH OPPORTUNITIES FUND - DAILY DIV,Other,ok
108197,Morgan Stanley A.C.E. Fund- Regular Growth Plan,Other,ok
108198,Reliance Fixed Horizon Fund - VIII - Series 2 - Retail Plan-Growth Option,Other,skip
108200,Reliance Fixed Horizon Fund - VIII - Series 2 - Institutional Plan-Growth Option,Other,skip
108202,DSP Natural Resources And New Energy Fund - Regular - Growth,Sectoral - Energy,ok
108204,Reliance Fixed Horizon Fund - VIII - Series 10 - Retail Plan-Growth Option,Other,skip
108207,Reliance Fixed Horizon Fund - VIII - Series 10 - Institutional Plan-Growth Option,Other,skip
108209,DSP BlackRock Natural Resources And New Energy Fund - Institutional Plan - Growth,Sectoral - Energy,ok
108211,DSP BlackRock FMP - 6M - Series 5 - Regular Plan - Growth,Other,skip
108212,DSP BlackRock FMP - 6M - Series 5 - Institutional Plan - Growth,Other,skip
108214,Standard Chartered Fixed Maturity Plan - YS21-Plan A - Growth,Other,skip
108215,Standard Chartered Fixed Maturity Plan - YS21-Plan B - Growth,Other,skip
108218,Religare FMP-3M-Sr-XXVII-Growth,Other,skip
108222,ING OptiMix Active Short Term Fund-Inst. Plan-Growth Option,Short Duration,skip
108223,Franklin Templeton Fixed Tenure Fund - Series IX - Plan A - Growth,Other,ok
108225,Franklin Templeton Fixed Tenure Fund - Series IX - Plan B - Growth,Other,ok
108227,Reliance Fixed Horizon Fund - VIII - Series 3 - Retail Plan-Growth Option,Other,skip
108229,Reliance Fixed Horizon Fund - VIII - Series 3 - Institutional Plan-Growth Option,Other,skip
108231,UTI-Long Term Advantage Fund Series -II - Growth Option,Other,ok
108233,HDFC FMP 181D APRIL 2008 - RETAIL PLAN GROWTH OPTION,Other,skip
108234,HDFC FMP 181D APRIL 2008 - WHOLESALE PLAN GROWTH OPTION,Other,skip
108237,HDFC FMP 18M APRIL 2008  WHOLESALE PLAN - GROWTH OPTION,Other,ok
108240,HDFC FMP 18M APRIL 2008  RETAIL PLAN - GROWTH OPTION,Other,ok
108244,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL-Daily,Other,ok
108245,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL -Fortnightly,Other,ok
108247,UTI-FMP Quarterly April08 Series I-Growth Option,Other,skip
108248,UTI-FMP Quarterly April08 Series I- Instn Growth Option,Other,skip
108249,Nippon India Quant Fund -Growth Plan - Growth Option,Other,ok
108250,Reliance Quant Plus Fund- Institutional Plan-Growth Option,Other,ok
108257,LICMF FIXED MATURITY PLAN SERIES 40 - GROWTH OPTION,Other,skip
108258,Nippon India Quant Fund -Growth Plan -Bonus Option,Other,ok
108261,Religare FMP-3M-Sr-XXVIII-Growth,Other,skip
108262,Kotak FMP 3M Series 29 - Growth,Other,skip
108264,ING Fixed Maturity Fund - Series 40 - Retail Plan- Growth Option,Other,skip
108265,ING Fixed Maturity Fund - Series 40 - Institutional Plan- Growth Option,Other,skip
108269,DWS FIXED TERM FUND SERIES 48 REGULAR PLAN GROWTH,Other,skip
108270,DWS FIXED TERM FUND SERIES 48 - INSTITUTIONAL PLAN - GROWTH,Other,skip
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Sectoral - Banking,ok
108281,ABN AMRO FIXED TERM PLAN - SERIES 11 -  PLAN B - Regular Plan - Growth Option,Other,skip
108284,ABN AMRO FIXED TERM PLAN - SERIES 11 -  PLAN B - Instl Plan - Growth Option,Other,skip
108289,Birla Sun Life Fixed Term Plan - Series AS INSTITUTIONAL GROWTH,Other,skip
108290,Birla Sun Life Fixed Term Plan - Series AS RETAIL GROWTH,Other,skip
108292,Birla Sun Life Fixed Term Plan - Series AT INSTITUTIONAL GROWTH,Other,skip
108294,Birla Sun Life Fixed Term Plan - Series AT RETAIL GROWTH,Other,skip
108295,ICICI Prudential Fixed Maturity Plan - Series 42 - Six Months Plan C - Retail Growth Option,Other,skip
108298,ICICI Prudential Fixed Maturity Plan - Series 42 - Fifteen Months Plan - Institutional Growth Option,Other,skip
108300,ICICI Prudential Fixed Maturity Plan - Series 42 - Fifteen Months Plan - Retail Growth Option,Other,skip
108303,HSBC Fixed Term Series 51 - Inst. - Growth,Other,skip
108304,HSBC Fixed Term Series 51 - Regular - Growth,Other,skip
108305,Sundaram Select Focus Institutional Plan - Growth,Other,ok
108306,Religare FMP-3M-Sr-XXIX-Growth,Other,skip
108308,HDFC FMP 90D APRIL 2008 - WHOLESALE PLAN GROWTH OPTION,Other,skip
108310,HDFC FMP 90D APRIL 2008 - RETAIL PLAN GROWTH OPTION,Other,skip
108312,HDFC FMP 18M APRIL 2008 (2) RETAIL PLAN - GROWTH OPTION,Other,ok
108314,HDFC FMP 18M APRIL 2008 (2) WHOLESALE PLAN - GROWTH OPTION,Other,ok
108319,LICMF FIXED MATURITY PLAN SERIES 36 - GROWTH OPTION,Other,ok
108321,Sahara Power & Natural resources Fund- Growth Option,Sectoral - Energy,ok
108322,Templeton Fixed Horizon Fund - Series VIII - Plan A - Growth,Other,skip
108324,ING Fixed Maturity Fund - Series 45 - Retail Plan - Growth Option,Other,skip
108326,ING Fixed Maturity Fund - Series 45 - Institutional Plan - Growth Option,Other,skip
108328,SBI Debt Fund Series-18 Months-3-Retail Growth (2/5/08),Other,skip
108330,SBI Debt Fund Series-18 Months-3-Institutional Growth (2/5/08),Other,skip
108332,SBI Debt Fund Series-90- Days-23- (30/04/2008) Growth,Other,skip
108342,HSBC Fixed Term Series 50 - Regular - Growth,Other,skip
108344,HSBC Fixed Term Series 50 - Inst. - Growth,Other,skip
108346,HSBC Fixed Term Series 52 - Regular - Growth,Other,skip
108347,HSBC Fixed Term Series 52 - Inst. - Growth,Other,skip
108350,DWS FIXED TERM FUND SR 49 INST GR,Other,skip
108351,DWS FIXED TERM FUND SR 49 REG GR,Other,skip
108352,DWS FIXED TERM FUND SR 49 REG DIV,Other,skip
108353,DWS FIXED TERM FUND SR 49 INST DIV,Other,skip
108355,ICICI Prudential FMP series 43 - 14 Mths Plan B - Institutional Growth Option,Other,skip
108356,ICICI Prudential FMP series 43 - 14 Mths Plan B - Retail Growth Option,Other,skip
108358,ICICI Prudential FMP series 42 - 13 Mths Plan D - Institutional Growth Option,Other,skip
108360,ICICI Prudential FMP series 42 - 13 Mths Plan D - Retail Growth Option,Other,skip
108363,HSBC Income Fund - Short Term - Inst. Plus - Growth,Short Duration,ok
108364,Birla Sun Life Fixed Term Plan - Series AU RETAIL GROWTH,Other,skip
108366,Birla Sun Life Fixed Term Plan - Series AU INSTITUTIONAL GROWTH,Other,skip
108368,DSP BlackRock FMP - 3M - Series 8 - Regular Plan - Growth,Other,skip
108370,DSP BlackRock FMP - 3M - Series 8 - Institutional Plan - Growth,Other,skip
108373,Templeton Fixed Horizon Fund - Series VIII - Plan B - Growth,Other,skip
108375,Templeton Fixed Horizon Fund - Series VIII - Plan C - Growth,Other,skip
108378,Invesco India Financial Services Fund - Regular Plan - Growth,Sectoral - Banking,ok
108382,Kotak FMP 12M Series 3 Institutional Plan - Growth,Other,skip
108384,Kotak FMP 12M Series 3 Retail Plan - Growth,Other,skip
108386,Reliance Fixed Horizon Fund - VIII - Series 4 - Institutional Plan-Growth Option,Other,skip
108388,Reliance Fixed Horizon Fund - VIII - Series 4 - Retail Plan-Growth Option,Other,skip
108389,HDFC FMP 90D MAY 2008 - RETAIL PLAN GROWTH OPTION,Other,skip
108391,HDFC FMP 90D MAY 2008 - WHOLESALE PLAN GROWTH OPTION,Other,skip
108393,HDFC FMP 370D MAY 2008 WHOLESALE PLAN - GROWTH OPTION,Other,skip
108397,HDFC FMP 370D MAY 2008 RETAIL PLAN - GROWTH OPTION,Other,skip
108400,UTI Fixed Maturity Plan Yearly Series Aptil 2008 - Growth Option,Other,ok
108401,UTI Fixed Maturity Plan Yearly Series Aptil 2008 - Instn. Growth Option,Other,ok
108402,Taurus ELSS Tax Saver Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,ELSS,ok
108403,Taurus Large Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,Large Cap,ok
108405,Religare FMP-3M-Sr-XXX-Growth,Other,skip
108406,Religare FMP-3M-Sr-XXXI-Growth,Other,skip
108411,LIC MF Interval Fund Quarterly Plan-Series 1-Regular Plan-Growth,Other,ok
108413,Kotak FMP 12M Series 5-Institutional- Growth,Other,skip
108414,Kotak FMP 12M Series 5-Retail- Growth,Other,skip
108417,LIC MF Interval Fund Monthly Plan-Series 1-Regular Plan-Growth,Other,ok
108418,Religare FMP-375 days-Sr-IX - Retail Growth,Other,skip
108420,Religare FMP-375 days-Sr-IX - Institutional Growth,Other,skip
108422,HDFC FMP 90D MAY 2008 (2) - RETAIL PLAN GROWTH OPTION,Other,skip
108425,HDFC FMP 90D MAY 2008 (2) - WHOLESALE PLAN GROWTH OPTION,Other,skip
108426,HDFC FMP 370D MAY 2008 (2) - WHOLESALE PLAN - GROWTH OPTION,Other,skip
108427,HDFC FMP 370D MAY 2008 (2) - RETAIL PLAN - GROWTH OPTION,Other,skip
108432,Kotak FMP 3M Series 30 - Growth,Other,skip
108435,UTI Fixed Maturity Plan -Quarterly May’08 Sr.1 - Growth Option,Other,skip
108437,Templeton Fixed Horizon Fund - Series VIII - Plan D - Growth,Other,skip
108439,LIC MF Interval Fund Annual Plan-Series 1-Regular Plan-Growth,Other,ok
108440,Reliance Fixed Horizon Fund - VIII - Series 11 - Retail Plan-Growth Option,Other,skip
108442,Reliance Fixed Horizon Fund - VIII - Series 11 - Institutional Plan-Growth Option,Other,skip
108450,Birla Sun Life Fixed Term Plan - Series AV RETAIL GROWTH,Other,skip
108451,Birla Sun Life Fixed Term Plan - Series AV INSTITUTIONAL GROWTH,Other,skip
108453,HDFC FMP 90D MAY 2008 (3) - RETAIL PLAN GROWTH OPTION,Other,skip
108454,HDFC FMP 90D MAY 2008 (3) - WHOLESALE PLAN GROWTH OPTION,Other,skip
108457,HDFC FMP 370D MAY 2008 (3) - WHOLESALE PLAN - GROWTH OPTION,Other,skip
108461,HDFC FMP 370D MAY 2008 (3) - RETAIL PLAN - GROWTH OPTION,Other,skip
108463,ICICI Prudential FMP series 44 - 3 Mths Plan A - Retail Growth Option,Other,skip
108466,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Growth,Large Cap,ok
108467,ICICI Prudential Bluechip Fund - Institutional Option - I - Growth,Large Cap,ok
108470,Principal Pnb Fixed Maturity Plan - 91 Days - Series XIV - Growth Option,Other,skip
108473,UTI FTIF Series-IV Plan-VII May’08 (12 months) - Growth Option,Other,skip
108474,UTI FTIF Series-IV Plan-VII May’08 (12 months) - Inst. Growth Option,Other,skip
108477,ICICI Prudential FMP series 44 - 1 Year Plan B - Retail Growth Option,Other,skip
108478,ICICI Prudential FMP series 44 - 1 Year Plan B - Institutional Growth Option,Other,skip
108479,Quantum Nifty 50 ETF,Large Cap,ok
108480,Standard Chartered FMP - QS29 Plan-A-Growth,Other,skip
108482,HDFC FMP 90D MAY 2008 (4) - RETAIL PLAN GROWTH OPTION,Other,skip
108484,HDFC FMP 90D MAY 2008 (4) - WHOLESALE PLAN GROWTH OPTION,Other,skip
108488,Tata Fixed Horizon Fund Series 17 Scheme E - Institutional Plan - Growth,Other,skip
108490,Tata Fixed Horizon Fund Series 17 Scheme E - Regular Plan - Growth,Other,skip
108492,Reliance Fixed Horizon Fund - VIII - Series 5 - Retail Plan-Growth Option,Other,skip
108494,Reliance Fixed Horizon Fund - VIII - Series 5 - Institutional Plan-Growth Option,Other,skip
108496,HSBC Fixed Term Series-53-Reg-Growth,Other,skip
108498,HSBC Fixed Term Series-53-Inst-Growth,Other,skip
108501,Religare FMP-375 days-Sr-X - Institutional Growth,Other,skip
108503,Religare FMP-375 days-Sr-X - Regular Growth,Other,skip
108505,UTI Fixed Maturity Plan Quarterly May’08 Series II - Growth Option,Other,skip
108507,UTI Fixed Maturity Plan Quarterly May’08 Series II- Instn Growth Option,Other,skip
108509,Standard Chartered FMP-QS-34- Plan A - Growth,Other,skip
108511,Kotak Dynamic Bond Fund Regular Plan Growth,Dynamic Bond,ok
108514,LICMF FIXED MATURITY PLAN SERIES 41 - GROWTH OPTION,Other,skip
108515,ING Fixed Maturity Fund - Series 47 - Retail Plan - Growth Option,Other,skip
108518,ING Fixed Maturity Fund - Series 47 - Institutional Plan - Growth Option,Other,skip
108519,ICICI Prudential FMP series 44 - 1 Year Plan A - Institutional Growth Option,Other,skip
108520,ICICI Prudential FMP series 44 - 1 Year Plan A - Retail Growth Option,Other,skip
108526,ABN AMRO FIXED TERM PLAN - SERIES 12 -  PLAN A - Regular Plan - Growth Option,Other,skip
108529,ABN AMRO FIXED TERM PLAN - SERIES 12 -  PLAN A - Instl Plan - Growth Option,Other,skip
108535,HDFC FMP 90D June 2008 (1) - RETAIL PLAN GROWTH OPTION,Other,skip
108537,HDFC FMP 90D June 2008 (1) - WHOLESALE PLAN GROWTH OPTION,Other,skip
108540,DSP BlackRock FMP - 3M - Series 9 - Regular Plan - Growth,Other,skip
108542,DSP BlackRock FMP - 3M - Series 9 - Institutional Plan - Growth,Other,skip
108545,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Growth,FOF - Domestic,ok
108552,IDFC Fixed Maturity - 6th Plan - Growth,Other,skip
108582,IDFC - Tristar Series I - A - Growth,Other,skip
108584,IDFC - Tristar Series I - B - Growth,Other,skip
108592,Bandhan Focused Fund - Regular Plan - Growth,Other,ok
108594,BANDHAN Flexi Cap Fund - Regular Plan - Growth,Flexi Cap,ok
108596,Bandhan Large & Mid Cap Fund - Regular Plan - Growth,Mid Cap,ok
108625,IDFC - SSIF - ST -Plan B - Growth,Other,ok
108632,BANDHAN Low Duration Fund - Regular Plan - Growth,Other,ok
108648,IDFC Fixed Maturity - 9th Plan - Growth,Other,skip
108659,IDFC GSF-Provident Fund-Inst Plan B-Growth,Other,ok
108661,IDFC GSF-Provident Fund-Regular Plan-Growth,Other,ok
108676,IDFC-Money Manager Fund-Treasury Plan-Plan B - Growth,Other,ok
108677,IDFC-Money Manager Fund-Treasury Plan-Plan B-Daily Div,Other,ok
108679,IDFC-Money Manager Fund-Treasury Plan-Plan B-Mon Div,Other,ok
108690,BANDHAN LIQUID Fund - Regular Plan - Growth,Liquid Fund,ok
108694,IDFC Cash Fund - Inst Plan B - Periodic Div,Other,skip
108697,IDFC-Money Manager Fund - Growth,Other,ok
108717,IDFC Bond Fund - Short Term Plan - Plan C  - Growth,Short Duration,ok
108719,IDFC Bond Fund - Short Term Plan - Plan D - Growth,Short Duration,ok
108728,Bandhan Medium Duration Fund - Regular Plan - Growth,Medium Duration,ok
108732,IDFC-Money Manager Fund-Investment Plan-Growth,Other,ok
108733,IDFC-Money Manager Fund-Investment Plan-Qtrly Div.,Other,ok
108736,IDFC Money Manager Fund-Investment Plan-Regular Plan-Growth,Other,ok
108737,IDFC Money Manager Fund-Investment Plan-Regular Plan-Qtrly Div.,Other,ok
108741,IDFC-Money Manager Fund-Investment Plan-Plan A-Daily Div.,Other,ok
108742,IDFC Money Manager Fund-Investment Plan-Regular Plan-Daily Div.,Other,ok
108752,IDFC GSF - Investment Plan - Growth,Other,ok
108753,Bandhan Gilt Fund with 10 year constant duration Fund - Regular Plan - Growth,Long Duration,ok
108756,BANDHAN Money Market Fund - Regular Plan - Growth,Liquid Fund,ok
108765,Bandhan Medium to Long Duration Fund - Regular Plan - Growth,Long Duration,ok
108768,Bandhan Short Duration Fund - Regular Plan - Growth,Short Duration,ok
108778,IDFC Cash Fund-Plan A-Growth,Other,ok
108781,IDFC Cash Fund - Plan B (G) (Institutional Plan),Other,ok
108786,IDFC Dynamic Bond Fund - Growth,Dynamic Bond,ok
108793,IDFC Liquid Fund - Growth,Liquid Fund,ok
108799,BANDHAN Large Cap Fund - Regular Plan - Growth,Large Cap,ok
108827,IDFC Fixed Maturity Plan - Yearly Series 17 - Plan B - Growth,Other,skip
108829,IDFC Fixed Maturity Plan - Yearly Series 17 - Plan A - Growth,Other,skip
108841,IDFC Fixed Maturity Plan - Yearly Series 19 - Plan A - Growth,Other,skip
108843,IDFC Fixed Maturity Plan - Yearly Series 19 - Plan B - Growth,Other,skip
108845,BANDHAN Arbitrage Fund - Regular Plan - Growth,Arbitrage Fund,ok
108846,IDFC Arbitrage Fund - Plan B - Growth,Arbitrage Fund,ok
108865,IDFC Tax Saver (ELSS) Fund A GROWTH,ELSS,ok
108880,IDFC Fixed Maturity Plan - Yearly Series 11 - Plan B - Growth Series 11 - Plan B - Growth B - Growth,Other,skip
108881,IDFC Fixed Maturity Plan - Yearly Series 11 - Plan A - Growth,Other,skip
108886,IDFC Fixed Maturity Plan - Yearly Series 10 - Growth,Other,skip
